# REGION BOUNDS FILE FOR ICESAT-2 ATL03/ATL08 ANALYSIS
#
# Add file name regions as necessary
# Add min/max lat/lon points into columns
#
# REGION FILE NAME				LON MIN (DEG)	LON MAX (DEG)	LAT MIN (DEG)	LAT MAX (DEG)	
AustinTx,						-97.844571,		-97.689181,		30.212641,		30.406014,		
CalhounCritZoneNcSc_leafoff,	-81.768867,		-81.621599,		34.559816,		34.672744,		
CalhounCritZoneNcSc_leafon,		-81.785899,		-81.643344,		34.537184,		34.673257,		
DryValleys_north,				160.476212,		163.030577,		-77.589778,		-77.211905,		
DryVallyes_taylor,				160.948091,		163.866213,		-77.855867,		-77.484818,		
Finland,						21.1043575,		31.48667987,	60.04393153,	66.7472715,		
GeoCoalBedMt,					-107.119121,	-106.973124,	47.474953,		47.53811,		
LaytonvilleCa,					-123.62878,		-123.407376,	39.545998,		39.595219,		
RangioraNz,						172.152748,		172.748843,		-43.450151,		-43.193716,		
SantaMariaAz,					-113.532051,	-113.329216,	34.279668,		34.324427,		
Sonoma,							-123.537898,	-122.345848,	38.107684,		38.942991,		
TahoeCa,						-120.671491,	-120.562162,	38.934143,		38.951164,		
TrinityRiverTx,					-94.881097,		-94.715161,		29.854685,		30.287299,		
WellingtonNz,					174.1786667,	178.6361111,	-41.94777778,	-37.06066672,	
WheelerRidgeCa,					-119.082515,	-118.906398,	34.977503,		35.043565,		
WoodlandNv,						-117.685925,	-117.558042,	39.427699,		39.513857,		
WSMR_ir_extents_east,			-106.4459401,	-106.3361953,	32.8628036,		33.05336581,	
StThomas,						-65.03768859,	-64.91666726,	18.26655903,	18.35224888,	
Indiana,						-88.115509,		-84.763981,		37.756954,		41.781294,		
Florida,						-82.86461508,	-82.82713738,	28.19987105,	28.25352155,	
Arctic DEM Zone 1,				-179.1843444,	-173.9135935,	51.20049474,	52.51948424,	
Arctic DEM Zone 2,				-174.1922168,	-167.2799674,	51.9598009,		63.83557696,	
Arctic DEM Zone 3,				-169.1164219,	-160.2995152,	53.26055855,	70.25248053,	
Arctic DEM Zone 4,				-163.4786659,	-154.1111586,	54.67721407,	71.43022396,	
Arctic DEM Zone 5,				-157.0975868,	-148.8897439,	56.32771131,	71.22313463,	
Arctic DEM Zone 6,				-151.3522336,	-142.664491,	59.37158264,	70.71545195,	
Arctic DEM Zone 7,				-145.1334555,	-138.2983305,	59.009671,		70.21151359,	
Arctic DEM Zone 8,				-138.3801234,	-131.8260155,	54.22277267,	60.20000163,	
Arctic DEM Zone 9,				-132.0646413,	-129.8098332,	54.11516436,	57.2247962,		
Arctic DEM Zone 43,				70.71032432,	78.08425707,	63.18908564,	69.15423994,	
Arctic DEM Zone 60,				178.9300769,	180.9699791,	51.33201644,	51.97378759,	
Oregon,							-124.1511,		-116.8917,		42.7657,		46.2396,		
NorthCarolina,					-80.1758,  		-75.4505,   	33.8310,   		36.5690,		
FtHood,							-98.6000,		-97.2100,		30.5000,		31.6100,		
